iter	RMSE
0	27386.0409
1	27371.04059
2	27356.33002
3	27341.48226
4	27326.92044
5	27312.6392
6	27298.63327
7	27285.28762
8	27272.2005
9	27259.36703
10	27246.38946
11	27233.66264
12	27221.55987
13	27209.31321
14	27197.30349
15	27185.8907
16	27174.3345
17	27163.00217
18	27151.88946
19	27140.99219
20	27130.64424
21	27120.49784
22	27110.54912
23	27100.45424
24	27090.55542
25	27080.84894
26	27071.33112
27	27062.31295
28	27053.47084
29	27044.4856
30	27035.67522
31	27027.3401
32	27019.16791
33	27010.85065
34	27002.69546
35	26994.99239
36	26987.44008
37	26979.74138
38	26972.48139
39	26965.36358
40	26958.09572
41	26951.25363
42	26944.26129
43	26937.40553
44	26930.6837
45	26924.09323
46	26917.63157
47	26911.29625
48	26905.08482
49	26899.24275
50	26893.26713
51	26887.40845
52	26881.66443
53	26876.26692
54	26870.97548
55	26865.55327
56	26860.23727
57	26855.25114
58	26850.13702
59	26845.12313
60	26840.20752
61	26835.60138
62	26830.87249
63	26826.23635
64	26821.69114
65	26817.2351
66	26812.86651
67	26808.77703
68	26804.57445
69	26800.64425
70	26796.60137
71	26792.82429
72	26789.12165
73	26785.3051
74	26781.74678
75	26778.25863
76	26774.65554
77	26771.30339
78	26767.83702
79	26764.6156
80	26761.45775
81	26758.36221
82	26755.15031
83	26752.00158
84	26748.91478
85	26745.88869
86	26742.92214
87	26740.01395
88	26737.16298
89	26734.52263
90	26731.77975
91	26729.24251
92	26726.75539
93	26724.31741
94	26721.77546
95	26719.43272
96	26716.98697
97	26714.58937
98	26712.38252
99	26710.21929
100	26707.95502
101	26705.87633
102	26703.83875
103	26701.7002
104	26699.74227
105	26697.82306
106	26695.80308
107	26693.95891
108	26692.15122
109	26690.24305
110	26688.37249
111	26686.5388
112	26684.74126
113	26683.10501
114	26681.50115
115	26679.80295
116	26678.13824
117	26676.62753
118	26675.14671
119	26673.57385
120	26672.15098
121	26670.63721
122	26669.27003
123	26667.81309
124	26666.49942
125	26665.09716
126	26663.72255
127	26662.37507
128	26661.05417
129	26659.75934
130	26658.59384
131	26657.45142
132	26656.33162
133	26655.13001
134	26654.05406
135	26652.8974
136	26651.86359
137	26650.75017
138	26649.65873
139	26648.58884
140	26647.63436
141	26646.69879
142	26645.78175
143	26644.78841
144	26643.81468
145	26642.86018
146	26642.01353
147	26641.18366
148	26640.28111
149	26639.48375
150	26638.61478
151	26637.76296
152	26637.01198
153	26636.27588
154	26635.55437
155	26634.76301
156	26633.98727
157	26633.22686
158	26632.48146
159	26631.75079
160	26631.03455
161	26630.33246
162	26629.64423
163	26629.04137
164	26628.45047
165	26627.79943
166	26627.23168
167	26626.60472
168	26625.99014
169	26625.38771
170	26624.86357
171	26624.34982
172	26623.84625
173	26623.35268
174	26622.86889
175	26622.39469
176	26621.86331
177	26621.34243
178	26620.83184
179	26620.33133
180	26619.84072
181	26619.42008
182	26619.00778
183	26618.60366
184	26618.1472
185	26617.69975
186	26617.31915
187	26616.88806
188	26616.4655
189	26616.10705
190	26615.69992
191	26615.35553
192	26614.96326
193	26614.57873
194	26614.25439
195	26613.93647
196	26613.57225
197	26613.2668
198	26612.91581
199	26612.57176
