iter	Passed	Remaining
0	148	29619
1	149	14800
2	150	9851
3	150	7377
4	151	5911
5	152	4923
6	153	4231
7	154	3716
8	155	3309
9	156	2980
10	157	2714
11	158	2486
12	159	2294
13	160	2134
14	161	1988
15	162	1867
16	163	1763
17	165	1673
18	166	1586
19	167	1511
20	168	1438
21	169	1371
22	170	1310
23	171	1254
24	172	1204
25	172	1156
26	173	1112
27	174	1070
28	175	1032
29	175	997
30	176	963
31	177	932
32	178	903
33	179	875
34	180	849
35	181	824
36	181	800
37	182	779
38	183	758
39	184	737
40	185	719
41	186	702
42	187	686
43	189	670
44	191	658
45	192	644
46	193	631
47	195	618
48	196	605
49	197	593
50	198	580
51	199	569
52	200	557
53	201	545
54	202	533
55	203	522
56	204	512
57	204	501
58	205	491
59	206	481
60	207	472
61	208	463
62	208	454
63	209	445
64	210	437
65	211	428
66	212	420
67	212	412
68	213	405
69	213	397
70	214	389
71	215	382
72	215	375
73	216	368
74	217	361
75	217	354
76	218	348
77	218	342
78	219	335
79	219	329
80	220	323
81	220	317
82	221	312
83	222	307
84	222	301
85	223	296
86	224	291
87	224	285
88	225	280
89	225	275
90	226	271
91	226	266
92	227	261
93	227	257
94	228	252
95	229	248
96	229	243
97	230	239
98	230	235
99	230	230
100	231	226
101	231	222
102	232	218
103	232	214
104	232	210
105	233	206
106	233	203
107	234	199
108	234	195
109	234	192
110	235	188
111	235	185
112	236	182
113	236	178
114	237	175
115	237	172
116	237	168
117	238	165
118	238	162
119	239	159
120	239	156
121	239	153
122	240	150
123	240	147
124	240	144
125	241	141
126	241	138
127	242	136
128	242	133
129	242	130
130	243	128
131	243	125
132	243	122
133	244	120
134	244	117
135	244	115
136	245	112
137	245	110
138	246	107
139	246	105
140	246	103
141	247	100
142	247	98
143	247	96
144	248	94
145	248	91
146	248	89
147	249	87
148	249	85
149	249	83
150	250	81
151	250	79
152	251	77
153	251	75
154	252	73
155	252	71
156	253	69
157	253	67
158	253	65
159	254	63
160	254	61
161	255	59
162	255	58
163	255	56
164	256	54
165	256	52
166	256	50
167	257	49
168	257	47
169	258	45
170	258	43
171	258	42
172	259	40
173	259	38
174	259	37
175	260	35
176	260	33
177	260	32
178	261	30
179	261	29
180	261	27
181	262	25
182	262	24
183	263	22
184	263	21
185	263	19
186	264	18
187	264	16
188	264	15
189	265	13
190	265	12
191	265	11
192	266	9
193	266	8
194	267	6
195	267	5
196	267	4
197	268	2
198	268	1
199	268	0
